# energy s(up) s(down) p(up) p(down)
-6.425000000000032685e+00 -1.164865254701126245e-06 -0.000000000000000000e+00 3.147818047474654065e-06 -0.000000000000000000e+00
-6.415000000000032898e+00 -1.424731404393742720e-06 -0.000000000000000000e+00 3.817034764882518067e-06 -0.000000000000000000e+00
-6.405000000000033111e+00 -1.724195693011799051e-06 -0.000000000000000000e+00 4.568316395774735535e-06 -0.000000000000000000e+00
-6.395000000000033324e+00 -2.055524993010163528e-06 -0.000000000000000000e+00 5.392879766554846542e-06 -0.000000000000000000e+00
-6.385000000000033538e+00 -2.417010194322444086e-06 -0.000000000000000000e+00 6.288735608077479824e-06 -0.000000000000000000e+00
-6.375000000000033751e+00 -2.801477132702261294e-06 -0.000000000000000000e+00 7.241714401701571651e-06 -0.000000000000000000e+00
-6.365000000000033964e+00 -3.198294269272335712e-06 -0.000000000000000000e+00 8.231687533014732323e-06 -0.000000000000000000e+00
-6.355000000000034177e+00 -3.593002529059047423e-06 -0.000000000000000000e+00 9.232330713976107664e-06 -0.000000000000000000e+00
-6.345000000000034390e+00 -3.967102377050740808e-06 -0.000000000000000000e+00 1.021126735050998023e-05 -0.000000000000000000e+00
-6.335000000000034603e+00 -4.298055544046680909e-06 -0.000000000000000000e+00 1.113067765516792507e-05 -0.000000000000000000e+00
-6.325000000000034817e+00 -4.559554992679424329e-06 -0.000000000000000000e+00 1.194844053361413297e-05 -0.000000000000000000e+00
-6.315000000000035030e+00 -4.722106918957447047e-06 -0.000000000000000000e+00 1.261984560775854915e-05 -0.000000000000000000e+00
-6.305000000000035243e+00 -4.753952419103067832e-06 -0.000000000000000000e+00 1.309987257861328995e-05 -0.000000000000000000e+00
-6.295000000000035456e+00 -4.622334138328446920e-06 -0.000000000000000000e+00 1.334598611049923996e-05 -0.000000000000000000e+00
-6.285000000000035669e+00 -4.295085710567853228e-06 -0.000000000000000000e+00 1.332133948884084445e-05 -0.000000000000000000e+00
-6.275000000000035882e+00 -3.742490818474709133e-06 -0.000000000000000000e+00 1.299822369124329326e-05 -0.000000000000000000e+00
-6.265000000000036096e+00 -2.939326691836358543e-06 -0.000000000000000000e+00 1.236154549564880660e-05 -0.000000000000000000e+00
-6.255000000000036309e+00 -1.866976826645184235e-06 -0.000000000000000000e+00 1.141207477676188872e-05 -0.000000000000000000e+00
-6.245000000000036522e+00 -5.154729676806679065e-07 -0.000000000000000000e+00 1.016917328077326192e-05 -0.000000000000000000e+00
-6.235000000000036735e+00 1.114689743858975958e-06 -0.000000000000000000e+00 8.672710444937093061e-06 -0.000000000000000000e+00
-6.225000000000036948e+00 3.011125203919289841e-06 -0.000000000000000000e+00 6.983890507858065271e-06 -0.000000000000000000e+00
-6.215000000000037161e+00 5.147132017210350274e-06 -0.000000000000000000e+00 5.193791535966056785e-06 -0.000000000000000000e+00
-6.205000000000037375e+00 7.486873553887558752e-06 -0.000000000000000000e+00 3.389654946578957783e-06 -0.000000000000000000e+00
