# energy s(up) s(down) p(up) p(down)
-6.435000000000032472e+00 2.670373121508062660e-05 -0.000000000000000000e+00 2.537263241944412093e-03 -0.000000000000000000e+00
-6.425000000000032685e+00 3.317488415874727886e-05 -0.000000000000000000e+00 3.159455680516627674e-03 -0.000000000000000000e+00
-6.415000000000032898e+00 4.081896867613541970e-05 -0.000000000000000000e+00 3.898193620091738691e-03 -0.000000000000000000e+00
-6.405000000000033111e+00 4.974698159396186218e-05 -0.000000000000000000e+00 4.766321904550925928e-03 -0.000000000000000000e+00
-6.395000000000033324e+00 6.002923111171324684e-05 -0.000000000000000000e+00 5.772909403459614355e-03 -0.000000000000000000e+00
-6.385000000000033538e+00 7.175622343554024737e-05 -0.000000000000000000e+00 6.930211230707430947e-03 -0.000000000000000000e+00
-6.375000000000033751e+00 8.497345046071255541e-05 -0.000000000000000000e+00 8.246847823283108211e-03 -0.000000000000000000e+00
-6.365000000000033964e+00 9.969276924806701277e-05 -0.000000000000000000e+00 9.729119286866528410e-03 -0.000000000000000000e+00
-6.355000000000034177e+00 1.158870347690621515e-04 -0.000000000000000000e+00 1.138052982762451093e-02 -0.000000000000000000e+00
-6.345000000000034390e+00 1.334859902391192458e-04 -0.000000000000000000e+00 1.320138621959164073e-02 -0.000000000000000000e+00
-6.335000000000034603e+00 1.523738647793375486e-04 -0.000000000000000000e+00 1.518849982629789236e-02 -0.000000000000000000e+00
-6.325000000000034817e+00 1.723890633869706998e-04 -0.000000000000000000e+00 1.733501648919102966e-02 -0.000000000000000000e+00
-6.315000000000035030e+00 1.933262255931966420e-04 -0.000000000000000000e+00 1.963039062406008936e-02 -0.000000000000000000e+00
-6.305000000000035243e+00 2.149407808047701222e-04 -0.000000000000000000e+00 2.206050965745621692e-02 -0.000000000000000000e+00
-6.295000000000035456e+00 2.369559491458840235e-04 -0.000000000000000000e+00 2.460796334782064040e-02 -0.000000000000000000e+00
-6.285000000000035669e+00 2.590719402071652022e-04 -0.000000000000000000e+00 2.725244069628617732e-02 -0.000000000000000000e+00
-6.275000000000035882e+00 2.809769056688566431e-04 -0.000000000000000000e+00 2.997122633888453513e-02 -0.000000000000000000e+00
-6.265000000000036096e+00 3.023590245837015937e-04 -0.000000000000000000e+00 3.273975980956551901e-02 -0.000000000000000000e+00
-6.255000000000036309e+00 3.229189615732693062e-04 -0.000000000000000000e+00 3.553221599587062796e-02 -0.000000000000000000e+00
-6.245000000000036522e+00 3.423818555801370119e-04 -0.000000000000000000e+00 3.832206427789556363e-02 -0.000000000000000000e+00
-6.235000000000036735e+00 3.605079830867741328e-04 -0.000000000000000000e+00 4.108256759236650346e-02 -0.000000000000000000e+00
-6.225000000000036948e+00 3.771013016403133877e-04 -0.000000000000000000e+00 4.378719080511433992e-02 -0.000000000000000000e+00
-6.215000000000037161e+00 3.920175346478687673e-04 -0.000000000000000000e+00 4.641047804932739440e-02 -0.000000000000000000e+00
