# energy dos(up) dos(down)
-8.655000000000006466e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.645000000000006679e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.635000000000006892e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.625000000000007105e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.615000000000007319e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.605000000000007532e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.595000000000007745e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.585000000000007958e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.575000000000008171e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.565000000000008384e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.555000000000008598e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.545000000000008811e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.535000000000009024e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.525000000000009237e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.515000000000009450e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.505000000000009663e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.495000000000009877e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.485000000000010090e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.475000000000010303e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.465000000000010516e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.455000000000010729e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.445000000000010942e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.435000000000011156e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.425000000000011369e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.415000000000011582e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.405000000000011795e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.395000000000012008e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.385000000000012221e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.375000000000012434e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.365000000000012648e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.355000000000012861e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.345000000000013074e+00 0.000000000000000000e+00 -0.000000000000000000e+00
